code,title,credits
CSE102,Data Structures & Algorithms,4
COM301,Technical Communication,2
CSE201,Advanced Programming,4
CSE222,Algorithm Design and Analysis,4
CSE101,introduction to programming,4
CSE112,Computer Organization,4
MTH210,Discrete Mathematics,4
CSE140,Introduction to Intelligent Systems,4
CSE202,Fundamentals of Database Management System,4
CSE223,Algorithm Design and Analysis,4
CSE231,Operating Systems,4
CSE232,Computer Networks,4
CSE233,Network Administration,4
CSE519,Modern Algorithm Design,4
CSE520,Advanced Algorithms,4
CSE322,Theory of Computation,4
CSE533,Computer Graphics,4
ECE356,Statistical Machine Learning,4
ECE544,Computer Vision,4
CSE545,Foundations of Computer Security,4
CSE550,Network Security,4
CSE554,Networks and System Security II,4
CSE421,Complexity Theory,4
CSE621,Complexity Theory,4
CSE441,Advanced Biometrics,4
CSE501,Designing Human Centered Systems,4
CSE502,Foundations of Parallel Programming,4
CSE503,Program Analysis,4
CSE504,Decision Procedures,4
CSE506,Data Mining,4
CSE507,Database System Implementation,4
CSE508,Information Retrieval,4
ECE511,Computer Architecture,4
CSE515,Bayesian Machine Learning,4
ECE559,Theories of Deep Learning,4
CSE523,Randomized Algorithms,4
CSE524,Theory of Modern Cryptography,4
CSE525,Introduction to Graduate Algorithms,4
CSE528,Introduction to Blockchain and Cryptocurrency,4
CSE529,Approximation Algorithms,4
CSE530,Distributed Systems: Concepts & Design,4
CSE531,Multi-Agent Systems,4
CSE535,Mobile Computing,4
ECE538,Wireless Networks,4
CSE546,Applied Cryptography,4
CSE552,Security Engineering,4
CSE555,Introduction to Spatial Computing,4
CSE556,Natural Language Processing,4
CSE557,Big Data Analytics,4
CSE558,Data Science,4
CSE559,Mining Large Networks,4
